Note Extraction from 1674.mid
----------------------------------------

--- Track 0:  ---

--- Track 1: FLUTE ---
Time: 134016, Note: 87, Velocity: 115
Time: 134400, Note: 84, Velocity: 123
Time: 134400, Note: 87, Velocity: 123
Time: 137472, Note: 81, Velocity: 123
Time: 137472, Note: 90, Velocity: 123
Time: 139008, Note: 82, Velocity: 123
Time: 139008, Note: 82, Velocity: 123
Time: 148992, Note: 82, Velocity: 91
Time: 148992, Note: 82, Velocity: 91
Time: 149376, Note: 87, Velocity: 91
Time: 149376, Note: 87, Velocity: 91
Time: 149760, Note: 86, Velocity: 91
Time: 149760, Note: 86, Velocity: 91
Time: 150144, Note: 87, Velocity: 91
Time: 150144, Note: 87, Velocity: 91
Time: 150528, Note: 89, Velocity: 91
Time: 150528, Note: 89, Velocity: 91
Time: 150912, Note: 84, Velocity: 91
Time: 150912, Note: 84, Velocity: 91
Time: 151296, Note: 84, Velocity: 91
Time: 151296, Note: 84, Velocity: 91
Time: 151680, Note: 82, Velocity: 91
Time: 151680, Note: 82, Velocity: 91
Time: 164352, Note: 87, Velocity: 91
Time: 164352, Note: 87, Velocity: 91
Time: 164736, Note: 89, Velocity: 91
Time: 164736, Note: 89, Velocity: 91
Time: 165120, Note: 90, Velocity: 101
Time: 165120, Note: 90, Velocity: 101
Time: 165504, Note: 89, Velocity: 109
Time: 165504, Note: 89, Velocity: 109
Time: 165888, Note: 90, Velocity: 115
Time: 165888, Note: 90, Velocity: 115
Time: 166272, Note: 90, Velocity: 115
Time: 166272, Note: 90, Velocity: 115
Time: 166656, Note: 82, Velocity: 123
Time: 166656, Note: 89, Velocity: 123
Time: 167808, Note: 82, Velocity: 123
Time: 167808, Note: 89, Velocity: 123
Time: 168192, Note: 82, Velocity: 123
Time: 168192, Note: 91, Velocity: 123
Time: 168960, Note: 82, Velocity: 123
Time: 168960, Note: 89, Velocity: 123
Time: 169728, Note: 82, Velocity: 123
Time: 169728, Note: 87, Velocity: 123
Time: 170496, Note: 84, Velocity: 123
Time: 170496, Note: 87, Velocity: 123
Time: 171264, Note: 82, Velocity: 123
Time: 171264, Note: 87, Velocity: 123
Time: 172032, Note: 82, Velocity: 123
Time: 172032, Note: 86, Velocity: 123
Time: 172800, Note: 82, Velocity: 123
Time: 172800, Note: 89, Velocity: 123
Time: 174336, Note: 82, Velocity: 123
Time: 174336, Note: 91, Velocity: 123
Time: 174720, Note: 82, Velocity: 123
